name,latitude,longitude,phone
"C1. Flower Bazaar Police station,chennai tamil nadu",13.0883724,80.2817022,044-23452464/465
"C2. Elephant Gate Police station,chennai tamil nadu",13.0926736,80.275157,044-23452467/468
"C3. Seven Wells Police station,chennai tamil nadu",13.0988712,80.2816759,044-23452471/472
"C4 Govt.Hospital Police station,chennai tamil nadu",13.068907,80.2671759,044-23452473
"B2 Esplanade Police station,chennai tamil nadu",13.0867502,80.2850751,044-23452458/459
"B4 High Court Police station,chennai tamil nadu",13.0872131,80.2850952,044-23452462
"B5. Harbour Police station,chennai tamil nadu",13.0962328,80.2864936,044-23452500/501
"B1. North Beach Police station,chennai tamil nadu",13.089882,80.2904675,044-23452457/457
"B3. Fort Police station,chennai tamil nadu",13.0826802,80.2707184,044-23452460/461
"N3. Muthialpet Police station,chennai tamil nadu",13.0998285,80.2868861,044-23452514/515
"C5. Kothavalchavadi Police station,chennai tamil nadu",13.0933489,80.2843962,044-23452474/474
"Port Marine Police station,chennai tamil nadu",13.0826802,80.2707184,044-23452502
"H1. Washermenpet Police station,chennai tamil nadu",13.1086282,80.280616,044-23452481/481
"H3. Tondiarpet Police station,chennai tamil nadu",13.1233037,80.2873248,044-23452485/486
"H4. Korukkupet Police station,chennai tamil nadu",13.1176027,80.2799883,044-23452488/489
"H6. R.K. Nagar Police station,chennai tamil nadu",13.1244264,80.2771183,044-23452493/494
"H2. Stanley Hospital Police station,chennai tamil nadu",13.1054579,80.2825334,044-25281347
"H8. Thiruvottiyur Police station,chennai tamil nadu",13.1540069,80.3008227,044-23452496/497
"H7. Peripheral Hospital Police station,chennai tamil nadu",13.095736,80.2191814,044-23452495
"H5. New Washermenpet Police station,chennai tamil nadu",13.1394516,80.2947123,044-23452490/491
"N1. Royapuram Police station,chennai tamil nadu",13.1113282,80.2936028,044-23452504/505
"N2. Kasimedu Police station,chennai tamil nadu",13.120907,80.29358,044-23452511/510
"N4. Fishing Harbour Police station,chennai tamil nadu",13.1338906,80.2988164,044-23452517/518
"M1. Madhavaram Police station,chennai tamil nadu",13.1313801,80.237884,044-23452783
"M2. Milk Colony Police station,chennai tamil nadu",13.1460465,80.2396096,044-2555085
"M3. Puzhal Police station,chennai tamil nadu",13.1601194,80.2027944,044-26590989
"M4. Redhills Police station,chennai tamil nadu",13.1916943,80.1851867,044-26418296
"M5. Ennore Police station,chennai tamil nadu",13.2089079,80.3163648,044-25750237
"M6. Manali Police station,chennai tamil nadu",13.1636495,80.2636135,044-23452788
"M7. Manali New Town Police station,chennai tamil nadu",13.2067223,80.2760683,044-25931299
"M8. Sathangadu Police station,chennai tamil nadu",13.1750496,80.2854452,044-23452790
"P1. Pulianthope Police station,chennai tamil nadu",13.0999823,80.2599392,044-23452520/521
"P2. Otteri Police station,chennai tamil nadu",13.1003396,80.2515167,044-23452524/525
"P4. Basin Bridge Police station,chennai tamil nadu",13.0952415,80.2662223,044-26670948
"P5. MKB Nagar Police station,chennai tamil nadu",13.1231016,80.2613922,044-23452531/532
"P6. Kodungaiyur Police station,chennai tamil nadu",13.1316114,80.2570068,044-25546241
"P3. Vyasarpadi Police station,chennai tamil nadu",13.1114447,80.2654901,044-23452527/526
"K1. Sembium Police station,chennai tamil nadu",13.108245,80.2440929,044-23452710/711
"K5. Peravallur Police station,chennai tamil nadu",13.1113554,80.2262112,044-23452727/728
"K9. Thiru .Vi.Ka. Nagar Police station,chennai tamil nadu",13.1209646,80.2340783,044-23452736/737
"K3. Aminjikarai Police station,chennai tamil nadu",13.0812048,80.2179792,044-23452716/717
"K4. Anna Nagar Police station,chennai tamil nadu",13.0926344,80.217931,044-23452719/720
"K8. Arumbakkam Police station,chennai tamil nadu",13.0687214,80.213805,044-23452733
"V3. J.J. Nagar Police station,chennai tamil nadu",13.0765379,80.1752674,044-23452748/749
"V5. Thirumangalam Police station,chennai tamil nadu",13.0932503,80.1976178,044-23452753/754
"V7. Nolambur Police station,chennai tamil nadu",13.0765424,80.1752655,9940596447
"K10. Koyambedu Police station,chennai tamil nadu",13.0696488,80.200326,044-23452739
"T4. Maduravoyal Police station,chennai tamil nadu",13.0672188,80.1766654,044-23452766
"CMBT Police station,chennai tamil nadu",13.0674395,80.2054888,9677099958
"V1. Villivakkam Police station,chennai tamil nadu",13.1035679,80.20631,044-23452744/745
"V4. Rajamangalam Police station,chennai tamil nadu",13.1221807,80.2053371,044-23452750/751
