Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
"C1. Flower Bazaar Police station,chennai tamil nadu","Ok, partial match","37QJ+8MW, Rattan Bazaar Rd, Rattan Bazaar, George Town, Chennai, Tamil Nadu 600001, India",13.0883724,80.2817022,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Rattan Bazaar Road,600001,Chennai,India,Tamil Nadu,,,,,
"C2. Elephant Gate Police station,chennai tamil nadu","Ok, partial match","37VG+337, Near Elephant Gate Bridge, Adhi Andra Colony, George Town, Chennai, Tamil Nadu 600108, India",13.0926736,80.275157,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600108,Chennai,India,Tamil Nadu,,,,,
"C3. Seven Wells Police station,chennai tamil nadu","Ok, partial match","145, Amman Koil Street, Amman Koil North, George Town, Maskan Chavadi, Amman Koil North, George Town, Chennai, Tamil Nadu 600001, India",13.0988712,80.2816759,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600001,Chennai,India,Tamil Nadu,,,37XJ+GM,"37XJ+GM Chennai, Tamil Nadu, India",7M5237XJ+GM
"C4 Govt.Hospital Police station,chennai tamil nadu","2 found, use single geocode.","45, Adithanar Rd, Pudupet, Egmore, Chennai, Tamil Nadu 600002, India",13.068907,80.2671759,"establishment, health, hospital, point_of_interest",ROOFTOP,45,Adithanar Road,600002,Chennai,India,Tamil Nadu,,,3798+HV,"3798+HV Chennai, Tamil Nadu, India",7M523798+HV
"B2 Esplanade Police station,chennai tamil nadu","Ok, partial match","37PP+P24, Esplanade Rd, Near High Court Parrys, Parrys, George Town, Chennai, Tamil Nadu 600108, India",13.0867502,80.2850751,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Esplanade Road,600108,Chennai,India,Tamil Nadu,,,,,
"B4 High Court Police station,chennai tamil nadu","Ok, partial match","Esplanade Rd, Parrys, George Town, Chennai, Tamil Nadu 600104, India",13.0872131,80.2850952,"establishment, point_of_interest",GEOMETRIC_CENTER,,Esplanade Road,600104,Chennai,India,Tamil Nadu,,,37PP+V2,"37PP+V2 Chennai, Tamil Nadu, India",7M5237PP+V2
"B5. Harbour Police station,chennai tamil nadu","2 found, use single geocode.","Number 12, jail street, Broadway Rd, Mannadi, George Town, Chennai, Tamil Nadu 600001, India",13.0962328,80.2864936,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Broadway Road,600001,Chennai,India,Tamil Nadu,,,37WP+FH,"37WP+FH Chennai, Tamil Nadu, India",7M5237WP+FH
"B1. North Beach Police station,chennai tamil nadu","Ok, partial match","North, 37QR+X54, Beach Rd, Parrys, George Town, Chennai, Tamil Nadu 600001, India",13.089882,80.2904675,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Beach Road,600001,Chennai,India,Tamil Nadu,,,,,
"B3. Fort Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"N3. Muthialpet Police station,chennai tamil nadu","Ok, partial match","12, Broadway Rd, near N 3 POLICE STATION, Muthialpet, George Town, Chennai, Tamil Nadu 600108, India",13.0998285,80.2868861,"establishment, point_of_interest, police",ROOFTOP,12,Broadway Road,600108,Chennai,India,Tamil Nadu,,,37XP+WQ,"37XP+WQ Chennai, Tamil Nadu, India",7M5237XP+WQ
"C5. Kothavalchavadi Police station,chennai tamil nadu","Ok, partial match","Kothwal Chavadi, George Town, Chennai, Tamil Nadu 600001, India",13.0933489,80.2843962,"political, sublocality, sublocality_level_2",APPROXIMATE,,,600001,Chennai,India,Tamil Nadu,,,,,
"Port Marine Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"H1. Washermenpet Police station,chennai tamil nadu","Ok, partial match","No.28,T.H.Road, Old Washermanpet, Basin Bridge, Kathibada, Chennai, Tamil Nadu 600021, India",13.1086282,80.280616,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600021,Chennai,India,Tamil Nadu,,,475J+F6,"475J+F6 Chennai, Tamil Nadu, India",7M52475J+F6
"H3. Tondiarpet Police station,chennai tamil nadu","Ok, partial match","608, Thiruvottiyur High Rd, Korukkupet, Tondiarpet, Chennai, Tamil Nadu 600081, India",13.1233037,80.2873248,"establishment, point_of_interest, police",ROOFTOP,,Thiruvottiyur High Road,600081,Chennai,India,Tamil Nadu,,,47FP+8W,"47FP+8W Chennai, Tamil Nadu, India",7M5247FP+8W
"H4. Korukkupet Police station,chennai tamil nadu","Ok, partial match","479H+2XX, Mannappa St, Meenambal Nagar, Kumaraswami Nagar, Old Washermanpet, Chennai, Tamil Nadu 600021, India",13.1176027,80.2799883,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Mannappa Street,600021,Chennai,India,Tamil Nadu,,,,,
"H6. R.K. Nagar Police station,chennai tamil nadu","Ok, partial match","47FG+QRH, Ennore High Rd, RK Nagar, Gopal Nagar, Old Washermanpet, Chennai, Tamil Nadu 600021, India",13.1244264,80.2771183,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Ennore High Road,600021,Chennai,India,Tamil Nadu,,,,,
"H2. Stanley Hospital Police station,chennai tamil nadu","Ok, partial match","Stanley Hospital, Old Jail Rd, Seven Wells North, Old Washermanpet, Chennai, Tamil Nadu 600001, India",13.1054579,80.2825334,"establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,,Old Jail Road,600001,Chennai,India,Tamil Nadu,,,474M+52,"474M+52 Chennai, Tamil Nadu, India",7M52474M+52
"H8. Thiruvottiyur Police station,chennai tamil nadu","Ok, partial match","8th Street, Thiruvottiyur High Rd, Sbi Colony, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1540069,80.3008227,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Thiruvottiyur High Road,600019,Chennai,India,Tamil Nadu,,,5832+J8,"5832+J8 Chennai, Tamil Nadu, India",7M525832+J8
